last_updated,entity_id,state
2023-01-16 08:31:37.764518,sensor.cph2197_battery_level,21
2023-01-16 08:31:37.765570,sensor.cph2197_battery_temperature,32.7
2023-01-16 08:31:37.766434,sensor.cph2197_battery_power,0.0
2023-01-16 08:33:56.483129,device_tracker.cph2197,home
2023-01-16 08:33:56.780804,sensor.cph2197_battery_temperature,32.2
2023-01-16 08:33:56.781835,sensor.cph2197_battery_power,0.0
2023-01-16 08:35:56.430228,device_tracker.cph2197,home
2023-01-16 08:35:56.695095,sensor.cph2197_battery_level,20
2023-01-16 08:35:56.696450,sensor.cph2197_battery_temperature,32.6
2023-01-16 08:35:56.698072,sensor.cph2197_battery_power,0.0
2023-01-16 08:36:45.963269,sensor.cph2197_battery_temperature,32.7
2023-01-16 08:36:45.964311,sensor.cph2197_battery_power,0.0
2023-01-16 08:38:47.132519,device_tracker.cph2197,home
2023-01-16 08:38:47.442094,sensor.cph2197_battery_temperature,32.8
2023-01-16 08:38:47.443141,sensor.cph2197_battery_power,0.0
2023-01-16 08:41:41.704956,sensor.cph2197_battery_level,19
2023-01-16 08:41:41.708810,sensor.cph2197_battery_state,charging
2023-01-16 08:41:41.710359,binary_sensor.cph2197_is_charging,on
2023-01-16 08:41:41.711309,sensor.cph2197_charger_type,ac
2023-01-16 08:41:41.712141,sensor.cph2197_battery_power,0.0
2023-01-16 08:41:47.133203,sensor.cph2197_battery_temperature,31.9
2023-01-16 08:41:47.134217,sensor.cph2197_battery_power,-0.01
2023-01-16 08:43:28.378365,device_tracker.cph2197,home
2023-01-16 08:43:28.703830,sensor.cph2197_battery_level,21
2023-01-16 08:43:28.704898,sensor.cph2197_battery_temperature,34.9
2023-01-16 08:48:06.689633,sensor.cph2197_battery_level,24
2023-01-16 08:48:06.690763,sensor.cph2197_battery_temperature,35.7
2023-01-16 08:51:46.676195,sensor.cph2197_battery_level,27
2023-01-16 08:51:46.677339,sensor.cph2197_battery_temperature,36.7
2023-01-16 08:57:48.177642,device_tracker.cph2197,home
2023-01-16 08:57:48.485156,sensor.cph2197_battery_level,31
2023-01-16 08:57:48.486238,sensor.cph2197_battery_temperature,36.0
2023-01-16 08:58:08.282781,device_tracker.cph2197,home
2023-01-16 09:00:19.048586,device_tracker.cph2197,home
2023-01-16 09:00:19.414913,sensor.cph2197_battery_level,33
2023-01-16 09:00:19.415960,sensor.cph2197_battery_temperature,35.2
2023-01-16 09:03:19.419881,device_tracker.cph2197,home
2023-01-16 09:03:19.679261,sensor.cph2197_battery_level,36
2023-01-16 09:03:19.680342,sensor.cph2197_battery_temperature,34.3
2023-01-16 09:08:02.374105,sensor.cph2197_battery_level,41
2023-01-16 09:08:02.375148,sensor.cph2197_battery_temperature,33.5
2023-01-16 09:10:55.384211,device_tracker.cph2197,home
2023-01-16 09:10:55.692953,sensor.cph2197_battery_level,44
2023-01-16 09:10:55.693968,sensor.cph2197_battery_temperature,33.4
2023-01-16 09:15:07.970903,device_tracker.cph2197,home
2023-01-16 09:15:08.215588,sensor.cph2197_battery_level,48
2023-01-16 09:23:21.334881,sensor.cph2197_battery_level,57
2023-01-16 09:23:21.335902,sensor.cph2197_battery_temperature,33.7
2023-01-16 09:24:27.507595,device_tracker.cph2197,home
2023-01-16 09:24:27.728608,sensor.cph2197_battery_level,58
2023-01-16 09:28:06.930142,device_tracker.cph2197,home
2023-01-16 09:31:21.486485,device_tracker.cph2197,home
2023-01-16 09:31:22.118777,sensor.cph2197_battery_level,65
2023-01-16 09:33:23.609987,device_tracker.cph2197,home
2023-01-16 09:33:23.840480,sensor.cph2197_battery_level,67
2023-01-16 09:33:23.841504,sensor.cph2197_battery_temperature,35.0
2023-01-16 09:35:38.602075,device_tracker.cph2197,home
2023-01-16 09:35:38.896508,sensor.cph2197_battery_level,70
2023-01-16 09:35:38.897537,sensor.cph2197_battery_temperature,35.6
2023-01-16 09:38:25.061425,device_tracker.cph2197,home
2023-01-16 09:38:25.655907,sensor.cph2197_battery_level,72
2023-01-16 09:38:25.656956,sensor.cph2197_battery_temperature,35.8
2023-01-16 09:38:25.657826,sensor.cph2197_battery_power,0.0
2023-01-16 09:48:09.811526,device_tracker.cph2197,home
2023-01-16 09:48:10.164217,sensor.cph2197_battery_level,77
2023-01-16 09:48:10.165285,sensor.cph2197_battery_temperature,34.5
2023-01-16 09:48:10.166210,sensor.cph2197_battery_power,-0.01
2023-01-16 09:53:29.974975,device_tracker.cph2197,home
2023-01-16 09:53:30.763091,sensor.cph2197_battery_level,81
2023-01-16 09:53:30.764129,sensor.cph2197_battery_temperature,32.6
2023-01-16 09:57:34.113633,device_tracker.cph2197,home
2023-01-16 09:57:34.355782,sensor.cph2197_battery_level,84
2023-01-16 09:57:34.356845,sensor.cph2197_battery_temperature,31.4
2023-01-16 10:00:33.643704,device_tracker.cph2197,home
2023-01-16 10:00:33.964787,sensor.cph2197_battery_level,86
2023-01-16 10:00:33.965862,sensor.cph2197_battery_temperature,30.3
2023-01-16 10:02:40.708903,device_tracker.cph2197,home
2023-01-16 10:02:41.061596,sensor.cph2197_battery_level,86
2023-01-16 10:02:41.062585,sensor.cph2197_battery_state,not_charging
2023-01-16 10:02:41.063405,binary_sensor.cph2197_is_charging,off
2023-01-16 10:02:41.064160,sensor.cph2197_charger_type,none
2023-01-16 10:02:41.064959,sensor.cph2197_battery_temperature,30.6
2023-01-16 10:02:41.067878,sensor.cph2197_battery_power,0.0
2023-01-16 10:08:47.523648,device_tracker.cph2197,home
2023-01-16 10:08:48.099642,sensor.cph2197_battery_temperature,29.4
2023-01-16 10:08:48.100686,sensor.cph2197_battery_power,0.0
2023-01-16 10:13:34.434280,device_tracker.cph2197,home
2023-01-16 10:13:34.703818,sensor.cph2197_battery_temperature,31.2
2023-01-16 10:13:34.704857,sensor.cph2197_battery_power,0.0
2023-01-16 10:15:43.956184,device_tracker.cph2197,home
2023-01-16 10:15:44.231386,sensor.cph2197_battery_level,85
2023-01-16 10:15:44.232424,sensor.cph2197_battery_temperature,31.6
2023-01-16 10:15:44.233284,sensor.cph2197_battery_power,0.0
2023-01-16 10:17:46.324765,device_tracker.cph2197,home
2023-01-16 10:17:46.634131,sensor.cph2197_battery_temperature,32.0
2023-01-16 10:17:46.635134,sensor.cph2197_battery_power,0.0
2023-01-16 10:18:09.705954,sensor.cph2197_battery_temperature,31.6
2023-01-16 10:18:09.707092,sensor.cph2197_battery_power,0.0
2023-01-16 10:19:27.449880,device_tracker.cph2197,home
2023-01-16 10:19:27.689110,sensor.cph2197_battery_level,85
2023-01-16 10:19:27.690084,sensor.cph2197_battery_state,charging
2023-01-16 10:19:27.690892,binary_sensor.cph2197_is_charging,on
2023-01-16 10:19:27.695268,sensor.cph2197_charger_type,ac
2023-01-16 10:19:27.696143,sensor.cph2197_battery_temperature,30.2
2023-01-16 10:19:27.696928,sensor.cph2197_battery_power,-0.01
2023-01-16 10:21:46.869310,device_tracker.cph2197,home
2023-01-16 10:21:47.178645,sensor.cph2197_battery_level,86
2023-01-16 10:21:47.179681,sensor.cph2197_battery_temperature,29.9
2023-01-16 10:23:48.766471,sensor.cph2197_battery_level,87
2023-01-16 10:23:48.767537,sensor.cph2197_battery_temperature,30.2
2023-01-16 10:25:50.037961,device_tracker.cph2197,home
2023-01-16 10:25:50.256842,sensor.cph2197_battery_level,88
2023-01-16 10:25:50.257859,sensor.cph2197_battery_temperature,30.3
2023-01-16 10:38:49.556137,sensor.cph2197_battery_level,93
2023-01-16 10:38:49.557208,sensor.cph2197_battery_temperature,30.1
2023-01-16 10:38:49.558071,sensor.cph2197_battery_power,0.0
2023-01-16 10:40:51.137298,device_tracker.cph2197,home
2023-01-16 10:40:51.439189,sensor.cph2197_battery_temperature,30.0
2023-01-16 10:40:51.440219,sensor.cph2197_battery_power,0.0
2023-01-16 10:48:11.374570,sensor.cph2197_battery_level,95
2023-01-16 10:48:11.375618,sensor.cph2197_battery_temperature,29.6
2023-01-16 10:48:11.376488,sensor.cph2197_battery_power,0.0
2023-01-16 10:52:22.044421,device_tracker.cph2197,home
2023-01-16 10:52:22.324724,sensor.cph2197_battery_level,96
2023-01-16 10:52:22.325806,sensor.cph2197_battery_temperature,29.8
2023-01-16 10:52:22.326695,sensor.cph2197_battery_power,0.0
2023-01-16 10:53:54.075588,sensor.cph2197_battery_temperature,30.0
2023-01-16 10:53:54.076595,sensor.cph2197_battery_power,0.0
2023-01-16 10:54:10.768875,device_tracker.cph2197,home
2023-01-16 10:56:11.577148,device_tracker.cph2197,home
2023-01-16 10:56:11.831636,sensor.cph2197_battery_level,97
2023-01-16 10:56:11.832704,sensor.cph2197_battery_power,0.0
2023-01-16 10:56:56.767188,device_tracker.cph2197,home
2023-01-16 10:58:57.290437,device_tracker.cph2197,home
2023-01-16 11:02:58.104506,device_tracker.cph2197,home
2023-01-16 11:02:58.510880,sensor.cph2197_battery_level,98
