last_updated,entity_id,state
2023-01-16 07:36:37.195258,device_tracker.cph2371,not_home
2023-01-16 07:36:43.181628,device_tracker.cph2371,not_home
2023-01-16 07:36:48.178002,device_tracker.cph2371,not_home
2023-01-16 07:36:53.179472,device_tracker.cph2371,not_home
2023-01-16 07:36:59.196904,device_tracker.cph2371,not_home
2023-01-16 07:37:04.182522,device_tracker.cph2371,not_home
2023-01-16 07:37:04.871745,sensor.cph2371_battery_temperature,22.0
2023-01-16 07:37:04.938611,sensor.cph2371_battery_power,0.0
2023-01-16 07:37:05.016072,sensor.cph2371_geocoded_location,Unknown
2023-01-16 07:37:05.134522,sensor.cph2371_wifi_connection,<not connected>
2023-01-16 07:37:05.247464,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 07:37:10.161403,device_tracker.cph2371,not_home
2023-01-16 07:37:15.182632,device_tracker.cph2371,not_home
2023-01-16 07:37:20.180803,device_tracker.cph2371,not_home
2023-01-16 07:37:25.164894,device_tracker.cph2371,not_home
2023-01-16 07:37:30.196922,device_tracker.cph2371,not_home
2023-01-16 07:37:36.183142,device_tracker.cph2371,not_home
2023-01-16 07:37:42.205703,device_tracker.cph2371,not_home
2023-01-16 07:37:48.188052,device_tracker.cph2371,not_home
2023-01-16 07:37:53.239108,device_tracker.cph2371,not_home
2023-01-16 07:37:59.188817,device_tracker.cph2371,not_home
2023-01-16 07:38:05.196680,device_tracker.cph2371,not_home
2023-01-16 07:46:39.246885,device_tracker.cph2371,not_home
2023-01-16 07:49:47.974658,device_tracker.cph2371,Maio
2023-01-16 07:49:49.892229,device_tracker.cph2371,Maio
2023-01-16 07:49:55.839491,device_tracker.cph2371,Maio
2023-01-16 07:50:01.152504,device_tracker.cph2371,Maio
2023-01-16 07:50:06.181704,device_tracker.cph2371,Maio
2023-01-16 07:50:12.181315,device_tracker.cph2371,Maio
2023-01-16 07:50:17.191504,device_tracker.cph2371,Maio
2023-01-16 07:50:23.192097,device_tracker.cph2371,Maio
2023-01-16 07:50:29.192661,device_tracker.cph2371,Maio
2023-01-16 07:50:51.419054,device_tracker.cph2371,Maio
2023-01-16 07:50:57.193266,device_tracker.cph2371,Maio
2023-01-16 07:51:02.185316,device_tracker.cph2371,Maio
2023-01-16 07:51:08.185654,device_tracker.cph2371,Maio
2023-01-16 07:51:14.209780,device_tracker.cph2371,Maio
2023-01-16 07:51:19.191809,device_tracker.cph2371,Maio
2023-01-16 07:51:25.189789,device_tracker.cph2371,Maio
2023-01-16 07:51:30.181307,device_tracker.cph2371,Maio
2023-01-16 07:51:36.191488,device_tracker.cph2371,Maio
2023-01-16 07:51:43.161293,device_tracker.cph2371,Maio
2023-01-16 07:51:47.181466,device_tracker.cph2371,Maio
2023-01-16 07:52:09.785076,sensor.cph2371_battery_level,97
2023-01-16 07:52:09.786112,sensor.cph2371_battery_temperature,25.1
2023-01-16 07:52:09.786947,sensor.cph2371_battery_power,0.0
2023-01-16 07:52:09.787733,sensor.cph2371_geocoded_location,"Av. 9 de Julho 232, 4760-163 Vila Nova de Famalicão, Portugal"
2023-01-16 07:55:11.928902,device_tracker.cph2371,Maio
2023-01-16 08:05:30.806774,device_tracker.cph2371,Maio
2023-01-16 08:10:30.514388,sensor.cph2371_battery_temperature,20.0
2023-01-16 08:10:30.515401,sensor.cph2371_battery_power,0.0
2023-01-16 08:10:30.516224,sensor.cph2371_geocoded_location,"Rua Parque Industrial, 257, Rio Covo (Santa Eulália), Braga, 4755-481, Portugal"
2023-01-16 08:13:04.845279,device_tracker.cph2371,Maio
2023-01-16 08:20:32.811816,device_tracker.cph2371,Maio
2023-01-16 08:25:30.962216,device_tracker.cph2371,Maio
2023-01-16 08:35:31.923709,sensor.cph2371_battery_level,96
2023-01-16 08:35:31.924760,sensor.cph2371_battery_temperature,18.7
2023-01-16 08:35:31.925614,sensor.cph2371_battery_power,0.0
2023-01-16 08:35:32.676484,device_tracker.cph2371,Maio
2023-01-16 08:36:15.881306,device_tracker.cph2371,Maio
2023-01-16 08:45:31.747927,device_tracker.cph2371,Maio
2023-01-16 08:45:53.523303,device_tracker.cph2371,Maio
2023-01-16 08:50:34.595622,sensor.cph2371_battery_power,0.0
2023-01-16 08:50:34.596615,sensor.cph2371_geocoded_location,"Zona Industrial 13, Rio Covo, Braga, 4755-481, Portugal"
2023-01-16 08:55:31.720665,device_tracker.cph2371,Maio
2023-01-16 09:05:31.842347,device_tracker.cph2371,Maio
2023-01-16 09:38:53.445222,device_tracker.cph2371,Maio
2023-01-16 09:38:53.926042,sensor.cph2371_battery_temperature,18.8
2023-01-16 09:38:53.927006,sensor.cph2371_battery_power,0.0
2023-01-16 09:44:05.885106,device_tracker.cph2371,Maio
2023-01-16 09:55:18.814355,device_tracker.cph2371,Maio
2023-01-16 09:55:35.598295,sensor.cph2371_battery_level,95
2023-01-16 09:55:35.598724,sensor.cph2371_battery_temperature,19.9
2023-01-16 09:55:35.599074,sensor.cph2371_battery_power,0.0
2023-01-16 09:57:09.360324,device_tracker.cph2371,Maio
2023-01-16 10:11:03.128096,sensor.cph2371_battery_level,94
2023-01-16 10:11:03.129109,sensor.cph2371_battery_temperature,22.2
2023-01-16 10:11:03.129939,sensor.cph2371_battery_power,0.0
2023-01-16 10:15:07.281268,device_tracker.cph2371,Maio
2023-01-16 10:15:26.989344,device_tracker.cph2371,Maio
2023-01-16 10:16:16.560580,device_tracker.cph2371,Maio
2023-01-16 10:16:37.759064,device_tracker.cph2371,Maio
2023-01-16 10:30:06.971699,device_tracker.cph2371,Maio
2023-01-16 10:30:07.360356,sensor.cph2371_battery_temperature,21.2
2023-01-16 10:30:07.361360,sensor.cph2371_battery_power,0.0
2023-01-16 10:31:37.343350,device_tracker.cph2371,Maio
2023-01-16 10:45:06.351906,device_tracker.cph2371,Maio
2023-01-16 10:45:07.817296,sensor.cph2371_battery_level,93
2023-01-16 10:45:07.818318,sensor.cph2371_battery_temperature,20.9
2023-01-16 10:45:07.819169,sensor.cph2371_battery_power,0.0
2023-01-16 10:56:11.853946,device_tracker.cph2371,Maio
2023-01-16 11:06:38.046256,device_tracker.cph2371,Maio
2023-01-16 11:23:34.248800,sensor.cph2371_battery_level,92
2023-01-16 11:23:34.249814,sensor.cph2371_battery_temperature,21.1
2023-01-16 11:23:34.250664,sensor.cph2371_battery_power,0.0
2023-01-16 11:23:35.092854,device_tracker.cph2371,Maio
2023-01-16 11:34:46.913748,device_tracker.cph2371,Maio
2023-01-16 11:38:34.901969,sensor.cph2371_battery_temperature,21.3
2023-01-16 11:38:34.903022,sensor.cph2371_battery_power,0.0
2023-01-16 11:41:10.758906,device_tracker.cph2371,Maio
2023-01-16 11:41:30.474901,device_tracker.cph2371,Maio
2023-01-16 11:56:17.922424,device_tracker.cph2371,Maio
2023-01-16 11:56:37.985242,device_tracker.cph2371,Maio
2023-01-16 11:58:47.673266,sensor.cph2371_battery_temperature,21.1
2023-01-16 11:58:47.674283,sensor.cph2371_battery_power,0.0
2023-01-16 12:00:25.758667,device_tracker.cph2371,Maio
2023-01-16 12:00:48.562199,device_tracker.cph2371,Maio
2023-01-16 12:08:33.222166,sensor.cph2371_battery_level,91
2023-01-16 12:08:33.223214,sensor.cph2371_battery_temperature,19.0
2023-01-16 12:08:33.224070,sensor.cph2371_battery_power,0.0
2023-01-16 12:08:51.576633,sensor.cph2371_battery_temperature,19.1
2023-01-16 12:08:51.577686,sensor.cph2371_battery_power,0.0
2023-01-16 12:08:51.578517,sensor.cph2371_last_update_trigger,io.homeassistant.companion.android.UPDATE_SENSORS
2023-01-16 12:08:53.566102,device_tracker.cph2371,Maio
2023-01-16 12:14:19.364231,device_tracker.cph2371,Maio
2023-01-16 12:19:39.583682,device_tracker.cph2371,Maio
2023-01-16 12:24:22.222775,sensor.cph2371_battery_level,89
2023-01-16 12:24:22.223821,sensor.cph2371_battery_temperature,21.2
2023-01-16 12:24:22.224673,sensor.cph2371_battery_power,0.0
2023-01-16 12:24:22.225478,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 12:25:05.870958,device_tracker.cph2371,Maio
2023-01-16 12:30:25.506817,device_tracker.cph2371,Maio
2023-01-16 12:36:25.965380,device_tracker.cph2371,Maio
2023-01-16 12:39:38.731359,sensor.cph2371_battery_level,88
2023-01-16 12:39:38.732421,sensor.cph2371_battery_temperature,23.1
2023-01-16 12:39:38.733306,sensor.cph2371_battery_power,0.0
2023-01-16 12:45:45.634550,device_tracker.cph2371,Maio
2023-01-16 12:55:08.833694,sensor.cph2371_battery_level,85
2023-01-16 12:55:08.834691,sensor.cph2371_battery_temperature,25.5
2023-01-16 12:55:08.835540,sensor.cph2371_battery_power,0.0
2023-01-16 12:55:10.327418,device_tracker.cph2371,Maio
2023-01-16 16:04:26.836961,device_tracker.cph2371,Maio
2023-01-16 16:04:27.179052,sensor.cph2371_battery_level,82
2023-01-16 16:04:27.180062,sensor.cph2371_battery_temperature,22.1
2023-01-16 16:04:27.180908,sensor.cph2371_battery_power,0.0
2023-01-16 16:05:28.040865,device_tracker.cph2371,Maio
2023-01-16 16:06:18.429713,device_tracker.cph2371,Maio
2023-01-16 16:06:47.442445,device_tracker.cph2371,Maio
2023-01-16 16:18:22.057835,device_tracker.cph2371,Maio
2023-01-16 16:18:43.499960,device_tracker.cph2371,Maio
2023-01-16 16:19:27.518052,sensor.cph2371_battery_level,81
2023-01-16 16:19:27.519162,sensor.cph2371_battery_temperature,23.6
2023-01-16 16:19:27.519999,sensor.cph2371_battery_power,0.0
2023-01-16 16:19:28.880646,device_tracker.cph2371,Maio
2023-01-16 16:20:34.921521,device_tracker.cph2371,Maio
2023-01-16 16:35:00.789923,device_tracker.cph2371,Maio
2023-01-16 16:40:01.525088,sensor.cph2371_battery_level,80
2023-01-16 16:40:01.526134,sensor.cph2371_battery_temperature,23.2
2023-01-16 16:40:01.526974,sensor.cph2371_battery_power,0.0
2023-01-16 16:49:59.601863,device_tracker.cph2371,Maio
2023-01-16 16:56:19.469461,device_tracker.cph2371,Maio
2023-01-16 16:56:39.516986,device_tracker.cph2371,Maio
2023-01-16 17:09:58.546900,sensor.cph2371_battery_level,79
2023-01-16 17:09:58.547911,sensor.cph2371_battery_temperature,22.8
2023-01-16 17:09:58.548761,sensor.cph2371_battery_power,0.0
2023-01-16 17:09:59.447897,device_tracker.cph2371,Maio
2023-01-16 17:16:45.268667,device_tracker.cph2371,Maio
2023-01-16 17:17:14.716170,device_tracker.cph2371,Maio
2023-01-16 17:17:59.435228,device_tracker.cph2371,Maio
2023-01-16 17:18:20.022779,device_tracker.cph2371,Maio
2023-01-16 17:24:22.698661,device_tracker.cph2371,Maio
2023-01-16 17:27:11.098482,sensor.cph2371_battery_level,78
2023-01-16 17:27:11.099528,sensor.cph2371_battery_temperature,23.0
2023-01-16 17:27:11.100369,sensor.cph2371_battery_power,0.0
2023-01-16 17:27:22.115419,device_tracker.cph2371,not_home
2023-01-16 17:27:27.199921,device_tracker.cph2371,not_home
2023-01-16 17:27:32.203052,device_tracker.cph2371,not_home
2023-01-16 17:27:38.194570,device_tracker.cph2371,not_home
2023-01-16 17:27:44.223359,device_tracker.cph2371,not_home
2023-01-16 17:27:49.526975,device_tracker.cph2371,not_home
2023-01-16 17:27:55.490738,device_tracker.cph2371,not_home
2023-01-16 17:28:00.214997,device_tracker.cph2371,not_home
2023-01-16 17:28:06.213019,device_tracker.cph2371,not_home
2023-01-16 17:28:12.226197,device_tracker.cph2371,not_home
2023-01-16 17:30:08.784272,device_tracker.cph2371,not_home
2023-01-16 17:37:42.447109,device_tracker.cph2371,not_home
2023-01-16 17:42:11.742106,sensor.cph2371_battery_level,77
2023-01-16 17:42:11.743191,sensor.cph2371_battery_temperature,26.0
2023-01-16 17:42:11.744037,sensor.cph2371_battery_power,0.0
2023-01-16 17:45:16.019664,device_tracker.cph2371,not_home
2023-01-16 17:50:39.632207,device_tracker.cph2371,home
2023-01-16 17:50:41.596754,sensor.cph2371_battery_temperature,24.8
2023-01-16 17:50:41.597776,sensor.cph2371_battery_power,0.0
2023-01-16 17:50:41.598596,sensor.cph2371_geocoded_location,"R. Padre Domingos Joaquim Pereira 1002, 4760-590 Louro, Portugal"
2023-01-16 17:50:41.599387,sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE
2023-01-16 17:50:41.600170,sensor.cph2371_wifi_connection,MEO-CASA2D
2023-01-16 17:50:41.617365,sensor.cph2371_battery_power,0.0
2023-01-16 17:50:41.651689,sensor.cph2371_battery_power,0.0
2023-01-16 17:53:14.769626,sensor.cph2371_battery_temperature,24.1
2023-01-16 17:53:14.770653,sensor.cph2371_battery_power,0.0
2023-01-16 17:53:14.771474,sensor.cph2371_geocoded_location,"Av. Mal. Humberto Delgado 124, 4760-012 Vila Nova de Famalicão, Portugal"
2023-01-16 17:57:12.264152,sensor.cph2371_battery_level,76
2023-01-16 17:57:12.265199,sensor.cph2371_battery_temperature,25.1
2023-01-16 17:57:12.266050,sensor.cph2371_battery_power,0.0
2023-01-16 17:57:12.266804,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 18:07:46.268769,device_tracker.cph2371,home
2023-01-16 18:12:38.721213,sensor.cph2371_battery_level,75
2023-01-16 18:12:38.722235,sensor.cph2371_battery_temperature,24.3
2023-01-16 18:12:38.723067,sensor.cph2371_battery_power,0.0
2023-01-16 18:20:40.190827,sensor.cph2371_battery_level,73
2023-01-16 18:20:40.191839,sensor.cph2371_battery_temperature,25.6
2023-01-16 18:20:40.192749,sensor.cph2371_battery_power,0.0
2023-01-16 18:20:40.193527,sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE
2023-01-16 18:31:09.195605,device_tracker.cph2371,home
2023-01-16 18:31:09.531295,sensor.cph2371_battery_temperature,22.9
2023-01-16 18:31:09.532323,sensor.cph2371_battery_power,0.0
2023-01-16 18:31:09.535620,sensor.cph2371_last_update_trigger,SensorWorker
2023-01-16 18:40:38.357232,device_tracker.cph2371,home
