last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 03:52:09.249179
total_rx_gb,0.637,2023-01-27 03:52:09.255179
app_memory,0.017,2023-01-27 03:53:47.401716
battery_temperature,22.2,2023-01-27 03:53:47.403756
total_rx_gb,0.812,2023-01-27 03:53:47.414748
total_tx_gb,0.032,2023-01-27 03:53:47.416625
app_memory,0.013,2023-01-27 03:56:24.394959
battery_temperature,22.4,2023-01-27 03:56:24.399336
total_rx_gb,0.815,2023-01-27 03:56:24.408093
app_memory,0.015,2023-01-27 04:00:25.005904
battery_temperature,21.7,2023-01-27 04:00:25.009752
total_rx_gb,0.816,2023-01-27 04:00:25.017861
app_memory,0.017,2023-01-27 04:01:39.390088
app_memory,0.015,2023-01-27 04:04:28.815218
app_rx_gb,0.0026,2023-01-27 04:06:24.788233
app_memory,0.017,2023-01-27 04:06:24.790242
app_memory,0.016,2023-01-27 04:06:49.012944
last_update_trigger,SensorWorker,2023-01-27 04:06:49.018141
app_memory,0.018,2023-01-27 04:07:30.110908
last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:07:30.116016
battery_temperature,20.8,2023-01-27 04:11:09.864868
battery_temperature,20.7,2023-01-27 04:12:30.388957
app_memory,0.01,2023-01-27 04:14:01.701541
app_memory,0.028,2023-01-27 04:14:09.021899
ble_transmitter,Transmitting,2023-01-27 04:14:09.025597
last_update_trigger,android.net.wifi.WIFI_STATE_CHANGED,2023-01-27 04:14:09.029395
app_tx_gb,0.0017,2023-01-27 04:15:57.558860
app_memory,0.009,2023-01-27 04:15:57.560972
battery_temperature,20.8,2023-01-27 04:15:57.562895
ble_transmitter,Transmitting,2023-01-27 04:15:57.569106
last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:15:57.570894
total_rx_gb,0.817,2023-01-27 04:15:57.578257
total_tx_gb,0.033,2023-01-27 04:15:57.579928
app_memory,0.012,2023-01-27 04:16:17.185881
battery_temperature,21.0,2023-01-27 04:16:17.187945
app_memory,0.01,2023-01-27 04:17:30.235265
battery_temperature,21.1,2023-01-27 04:17:30.237311
app_memory,0.014,2023-01-27 04:18:28.801886
battery_temperature,21.2,2023-01-27 04:18:28.806311
app_rx_gb,0.0027,2023-01-27 04:20:37.906055
app_memory,0.008,2023-01-27 04:20:37.908542
battery_temperature,21.5,2023-01-27 04:20:37.911951
active_notification_count,3,2023-01-27 04:20:37.917363
total_rx_gb,0.823,2023-01-27 04:20:37.936490
total_tx_gb,0.326,2023-01-27 04:20:37.938388
app_memory,0.01,2023-01-27 04:21:01.489382
app_memory,0.012,2023-01-27 04:21:18.540991
battery_power,0.0,2023-01-27 04:21:18.543014
last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 04:21:18.546157
app_memory,0.015,2023-01-27 04:21:49.594236
battery_temperature,22.0,2023-01-27 04:21:49.596252
battery_power,0.0,2023-01-27 04:21:49.598071
last_update_trigger,SensorWorker,2023-01-27 04:21:49.602075
app_memory,0.012,2023-01-27 04:22:30.152693
battery_level,93,2023-01-27 04:22:30.154719
battery_power,0.0,2023-01-27 04:22:30.158853
last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:22:30.160694
total_tx_gb,0.327,2023-01-27 04:22:30.165605
app_memory,0.013,2023-01-27 04:23:47.337864
battery_level,94,2023-01-27 04:23:47.339841
battery_temperature,22.3,2023-01-27 04:23:47.341709
battery_power,0.0,2023-01-27 04:23:47.345330
app_memory,0.01,2023-01-27 04:25:21.835409
battery_level,95,2023-01-27 04:25:21.837413
battery_temperature,22.4,2023-01-27 04:25:21.841447
battery_power,0.0,2023-01-27 04:25:21.843320
app_memory,0.012,2023-01-27 04:26:21.720732
battery_level,96,2023-01-27 04:26:21.722768
battery_temperature,22.5,2023-01-27 04:26:21.726991
battery_power,0.0,2023-01-27 04:26:21.728838
app_memory,0.013,2023-01-27 04:27:30.146069
battery_level,97,2023-01-27 04:27:30.148175
battery_power,0.0,2023-01-27 04:27:30.150045
app_memory,0.015,2023-01-27 04:28:32.255258
battery_power,0.0,2023-01-27 04:28:32.257288
app_memory,0.017,2023-01-27 04:30:05.872284
battery_level,98,2023-01-27 04:30:05.874847
battery_temperature,22.6,2023-01-27 04:30:05.880153
battery_power,0.0,2023-01-27 04:30:05.883956
app_memory,0.013,2023-01-27 04:33:17.717340
battery_level,100,2023-01-27 04:33:17.719422
battery_power,0.0,2023-01-27 04:33:17.723095
